pyDeepSEA AU ROC	pyDeepSEA AU PR
0.74591	0.02352
0.87895	0.11504
0.93891	0.15384
0.98958	0.20952
0.97626	0.59797
0.78528	0.01319
0.92275	0.30838
0.97140	0.20895
0.94467	0.34162
0.91045	0.09631
0.92113	0.47851
0.94533	0.43232
0.86607	0.18700
0.85588	0.13060
0.75678	0.07313
0.98916	0.47357
0.79088	0.03532
0.83327	0.16991
0.84548	0.12575
0.84595	0.15563
0.89176	0.11907
0.90656	0.04567
0.75450	0.00103
0.92234	0.18594
0.39302	0.00002
0.63830	0.00016
0.85533	0.01272
0.90954	0.30585
0.96182	0.17945
0.92888	0.32564
0.93290	0.25872
0.93532	0.17717
0.88332	0.17071
0.98349	0.23470
0.96271	0.16563
0.96555	0.20736
0.96380	0.33644
0.94197	0.27484
0.91294	0.19733
0.98893	0.36739
0.95120	0.16165
0.97190	0.14260
0.93753	0.30725
0.77700	0.05581
0.90872	0.30304
0.95953	0.35671
0.93007	0.25407
0.93540	0.20510
0.88373	0.15264
0.96640	0.19841
0.89442	0.19173
0.89784	0.29561
0.95052	0.53011
0.82055	0.01824
0.95045	0.48346
0.90042	0.20979
0.88781	0.03265
0.95247	0.45868
0.76284	0.00301
0.80877	0.08894
0.90175	0.14316
0.88646	0.22403
0.82243	0.13325
0.82038	0.02795
0.90507	0.03993
0.80823	0.02779
0.89765	0.11769
0.87448	0.08434
0.93693	0.21575
0.74817	0.00002
0.74976	0.00073
0.78132	0.05550
0.88802	0.12474
0.97809	0.08428
0.91935	0.15881
0.94857	0.41927
0.95007	0.14798
0.90953	0.09305
0.87731	0.08256
0.87768	0.01167
0.99061	0.10373
0.80333	0.02445
0.88742	0.02144
0.94979	0.08065
0.91997	0.20036
0.74416	0.04996
0.76219	0.08725
0.73362	0.04445
0.94085	0.23208
0.95712	0.32226
0.92697	0.34246
0.98740	0.15446
0.79959	0.02647
0.83061	0.01013
0.94827	0.33645
0.91409	0.34715
0.81080	0.05719
0.97439	0.55951
0.87430	0.16514
0.96106	0.55839
0.95823	0.15731
0.91150	0.27772
0.69716	0.00652
0.91933	0.11052
0.91483	0.08844
0.61765	0.00003
0.91359	0.33358
0.91946	0.23003
0.81000	0.11612
0.94501	0.15242
0.90027	0.23934
0.93583	0.41392
0.97756	0.62953
0.77188	0.07874
0.91302	0.34137
0.96698	0.51491
0.81335	0.04121
0.89567	0.14277
0.95756	0.18252
0.84341	0.02034
0.89300	0.00643
0.89317	0.16399
0.71754	0.00080
0.71202	0.00460
0.89916	0.37844
0.92591	0.26227
0.95877	0.14812
0.93914	0.17889
0.92409	0.13474
0.91493	0.10093
0.90167	0.12405
0.91628	0.11503
0.95884	0.16225
0.91069	0.15162
0.90108	0.17656
0.88338	0.28332
0.87954	0.22667
0.89371	0.26511
0.94144	0.12915
0.78813	0.01788
0.82384	0.11779
0.97761	0.55016
0.98406	0.38863
0.94535	0.27966
0.95537	0.28522
0.82526	0.01182
0.81106	0.02502
0.94061	0.09188
0.95732	0.13532
0.94721	0.41261
0.77027	0.00490
0.85186	0.00447
0.88580	0.11325
0.88339	0.18157
0.95443	0.46776
0.89795	0.23993
0.86835	0.10490
0.74811	0.03885
0.75473	0.04023
0.91294	0.28321
0.93449	0.39430
0.91632	0.14651
